words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
доброволець,+,0,0,1,3
волонтер,+,0,0,1,4
охочий,+,0,0,1,2
добродійник,+,0,0,1,11
філантроп,+,0,0,1,12
доброчинець,+,0,0,1,12
добродій,+,0,0,1,10
доброзичливий,+,0,0,2,5
зичливий,+,0,0,1,6
прихильний,+,0,0,2,6
приязний,+,1,0,5,6
добрий,+,0,0,1,4
доброзичний,+,0,0,1,6
поблажливий,+,0,0,1,6
людяний,+,0,0,1,6
чулий,+,0,0,2,6
добротний,+,0,0,2,4
тривкий,A,1,0,1,5
доброякісний,+,0,0,1,5
високоякісний,+,0,0,1,3
якісний,+,0,0,1,3
доброчинність,U,0,0,0,-1
добродійність,U,0,0,0,-1
філантропія,U,0,0,0,-1
добродіяння,U,0,0,0,-1
добувати,+,0,0,6,8
добути,+,0,0,5,9
видобувати,+,0,0,4,9
видобути,+,0,0,4,9
виймати,+,0,0,11,8
вийняти,+,0,0,10,8
дістати,+,0,0,2,7
здобувати,+,0,0,1,7
знайти,+,0,0,3,8
одержати,+,0,0,8,8
довбати,+,0,0,2,8
довбти,+,0,0,1,8
роздовбувати,+,0,0,2,8
роздовбати,+,0,0,2,8
длубати,+,0,0,1,9
продовбувати,+,0,0,1,9
продовбати,+,0,0,1,9
продовбти,+,0,0,1,9
видовбувати,+,0,0,1,9
видовбати,+,0,0,1,9
довбатися,+,0,0,3,9
довбтися,+,0,0,2,10
длубатися,+,0,0,3,9
копирсатися,+,0,0,1,8
колупатися,+,0,0,1,10
возитися,+,0,0,3,9
вовтузитися,+,0,0,2,8
копатися,+,0,0,3,9
довгастий,+,0,0,1,6
видовжений,+,0,0,1,7
витягнений,+,0,0,1,7
витягнутий,+,0,0,1,7
подовжений,+,0,0,1,7
довгуватий,+,0,0,1,5
лінійний,+,0,0,1,7
овальний,+,0,0,1,7
заокруглений,+,0,0,1,7
довгий,+,0,0,2,4
довжелезний,+,0,0,2,4
довженний,+,0,0,2,4
довжезний,+,0,0,2,4
довгенький,+,0,0,1,5
доземний,+,0,0,1,5
додільний,+,0,0,1,5
тривалий,+,0,0,1,5
довгочасний,+,0,0,1,5
довго,+,0,0,3,6
чимало,+,0,0,2,5
чималу_годину,+,0,0,1,7
чималий_час,+,0,0,1,7
усе,+,0,0,1,6
все,+,0,0,1,6
довгенько,+,0,0,1,7
подовгу,+,0,0,1,7
довговічний,U,0,0,0,-1
багаторічний,U,0,0,0,-1
довгорічний,U,0,0,0,-1
довгоносик,U,0,0,0,-1
слоник,U,0,0,0,-1
вовчок_збіжжевий,U,0,0,0,-1
носач,U,0,0,0,-1
свинка,U,0,0,0,-1
довготелесий,+,0,0,1,4
високий,+,0,0,1,3
худий,A,1,0,1,5
незграбний,-,4,0,1,5
довготривалий,+,0,0,2,6
довершений,+,0,0,2,2
досконалий,+,0,0,1,2
довершити,+,0,0,4,9
довершувати,+,0,0,3,9
